"Product Attributes","პროდუქტის ატრიბუტები",module,Apm_AttributeSearch
"Attribute Title","ატრიბუტის სათაური",module,Apm_AttributeSearch
Add,დამატება,module,Apm_AttributeSearch
"My account","ჩემი ანგარიში",theme,frontend/AutoPartsMarket/apm
Change,შეცვლა,theme,frontend/AutoPartsMarket/apm
Contacts,კონტაქტები,theme,frontend/AutoPartsMarket/apm
%1!,%1!,theme,frontend/AutoPartsMarket/apm
"SELECT YOUR VEHICLE","სასურველი სახლი",theme,frontend/AutoPartsMarket/apm
"We can't find products matching the selection.","ჩვენ ვერ ვპოულობთ შერჩევის შესაბამის პროდუქტებს.",theme,frontend/Hiddentechies/bentriz
"Add to Wish List","დაამატეთ სურვილების სია",theme,frontend/Hiddentechies/bentriz
"Add to Compare","შედარება დაამატეთ",theme,frontend/Hiddentechies/bentriz
"Add to Cart","დაამატეთ კალათაში",theme,frontend/Hiddentechies/bentriz
"In stock",საწყობში,theme,frontend/Hiddentechies/bentriz
"Out of stock",საფონდო,theme,frontend/Hiddentechies/bentriz
"Learn More","შეიტყვეთ მეტი",theme,frontend/Hiddentechies/bentriz
"Related Products","დაკავშირებული პროდუქტები",theme,frontend/Hiddentechies/bentriz
"We found other products you might like!","ჩვენ ვიპოვნეთ სხვა პროდუქტები, რომლებიც შეიძლება მოგეწონოთ!",theme,frontend/Hiddentechies/bentriz
"More Choices:","მეტი არჩევანი:",theme,frontend/Hiddentechies/bentriz
"New Products","ახალი პროდუქტები",theme,frontend/Hiddentechies/bentriz
"Check items to add to the cart or","შეამოწმეთ საგნები კალათაში ან",theme,frontend/Hiddentechies/bentriz
"select all","აირჩიე ყველა",theme,frontend/Hiddentechies/bentriz
Qty,Qty,theme,frontend/Hiddentechies/bentriz
Email,ელ.ფოსტა,theme,frontend/Hiddentechies/bentriz
"Sign Up for Our Newsletter:","დარეგისტრირდით ჩვენი ბიულეტენისთვის:",theme,frontend/Hiddentechies/bentriz
"Enter your email address","შეიყვანეთ თქვენი ელ.ფოსტის მისამართი",theme,frontend/Hiddentechies/bentriz
Subscribe,გამოწერა,theme,frontend/Hiddentechies/bentriz
Home,მთავარი,theme,frontend/Hiddentechies/bentriz
"Admin Adobe IMS integration is disabled","Admin Adobe IMS ინტეგრაცია გამორთულია",module,Magento_AdminAdobeIms
"Admin Adobe IMS integration is enabled","ჩართულია Admin Adobe IMS ინტეგრაცია",module,Magento_AdminAdobeIms
"The Client ID, Client Secret, Organization ID and 2FA are required when enabling the Admin Adobe IMS Module","Admin Adobe IMS მოდულის გამოყენებისას საჭიროა კლიენტის ID, ორგანიზაციის ID და 2FA.",module,Magento_AdminAdobeIms
"Module is disabled","მოდული გამორთულია",module,Magento_AdminAdobeIms
"Admin Adobe IMS integration is %1","Admin Adobe IMS ინტეგრაციაა% 1",module,Magento_AdminAdobeIms
"Invalid state returned in callback from IMS.","არასწორი სახელმწიფო დაბრუნდა IMS– სგან.",module,Magento_AdminAdobeIms
"An authentication error occurred. Verify and try again.","მოხდა ავთენტიფიკაციის შეცდომა. გადაამოწმეთ და კვლავ სცადეთ.",module,Magento_AdminAdobeIms
"Adobe Sign-In is disabled.","Adobe Sign-In გამორთულია.",module,Magento_AdminAdobeIms
"Authorization was successful","ავტორიზაცია წარმატებული იყო",module,Magento_AdminAdobeIms
"Invalid state returned from IMS","არასწორი სახელმწიფო დაბრუნდა IMS– დან",module,Magento_AdminAdobeIms
"Could not connect to Adobe IMS Service: %1.","ვერ დაუკავშირდა Adobe IMS სერვისს:% 1.",module,Magento_AdminAdobeIms
"Could not get a valid response from Adobe IMS Service.","ვერ მიიღეს სწორი პასუხი Adobe IMS სერვისისგან.",module,Magento_AdminAdobeIms
"Could not verify the access_token","ვერ შეძლო წვდომის გადამოწმება",module,Magento_AdminAdobeIms
"Profile body is empty","პროფილის სხეული ცარიელია",module,Magento_AdminAdobeIms
"Could not save ims token.","ვერ გადავარჩინე ნიშანი.",module,Magento_AdminAdobeIms
"Could not find ims token id: %id.","ვერ იპოვნეთ ims ნიშანი: id.",module,Magento_AdminAdobeIms
"Could not delete ims tokens for admin user id %1.","არ შეიძლება წაშალოთ ადმინისტრაციული მომხმარებლის%% 1.",module,Magento_AdminAdobeIms
"An error occurred during logout operation.","შეცდომა მოხდა გამოსვლის ოპერაციის დროს.",module,Magento_AdminAdobeIms
"Failed to get JWK","JWK ვერ შეძლო",module,Magento_AdminAdobeIms
"Failed to read JWT token","JWT ნიშნის წაკითხვა ვერ მოხერხდა",module,Magento_AdminAdobeIms
"JWT does not contain claims","JWT არ შეიცავს პრეტენზიებს",module,Magento_AdminAdobeIms
"created_at not provided by the received JWT","შექმნილი JWT არ არის გათვალისწინებული",module,Magento_AdminAdobeIms
"expires_in not provided by the received JWT","ამოიწურება_ არ არის გათვალისწინებული მიღებული JWT",module,Magento_AdminAdobeIms
"Token has expired","ტოკენი ამოიწურა",module,Magento_AdminAdobeIms
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","ანგარიშის შესვლა არასწორი იყო ან თქვენი ანგარიში დროებით გამორთულია. გთხოვთ დაელოდოთ და მოგვიანებით სცადოთ.",module,Magento_AdminAdobeIms
"More permissions are needed to access this.","ამისათვის მეტი ნებართვაა საჭირო.",module,Magento_AdminAdobeIms
